,Name,Last modified,Size
92,01162099999.csv,2024-01-19 10:08,5.1M
93,01169099999.csv,2024-01-19 10:28,3.7M
94,01180099999.csv,2024-01-19 10:10,3.2M
95,01183099999.csv,2024-01-19 10:24,9.7M
96,01192099999.csv,2024-01-19 09:58,2.1M
97,01198099999.csv,2024-01-19 10:21,286K
98,01199099999.csv,2024-01-19 10:09,3.0M
99,01203099999.csv,2024-01-19 10:22,2.0M
100,01205099999.csv,2024-01-19 10:11,3.5M
101,01209099999.csv,2024-01-19 10:40,5.5M
102,01210099999.csv,2024-01-19 10:09,10M
103,01212099999.csv,2024-01-19 10:44,1.5M
104,01214099999.csv,2024-01-19 10:04,249K
105,01217099999.csv,2024-01-19 09:53,9.4M
106,01218099999.csv,2024-01-19 10:36,3.7M
107,01220099999.csv,2024-01-19 10:35,3.1M
108,01221099999.csv,2024-01-19 09:55,204K
109,01223099999.csv,2024-01-19 09:59,9.6M
110,01224099999.csv,2024-01-19 10:38,2.2M
111,01225099999.csv,2024-01-19 10:23,1.5M
112,01227099999.csv,2024-01-19 10:31,3.5M
113,01228099999.csv,2024-01-19 10:38,606K
114,01230099999.csv,2024-01-19 10:33,3.3M
115,01232099999.csv,2024-01-19 10:42,3.6M
116,01233099999.csv,2024-01-19 09:55,3.2M
117,01234099999.csv,2024-01-19 10:23,3.8M
118,01237099999.csv,2024-01-19 10:18,3.5M
119,01238099999.csv,2024-01-19 10:24,3.5M
120,01239099999.csv,2024-01-19 10:11,2.0M
121,01240099999.csv,2024-01-19 10:34,1.2M
122,01241099999.csv,2024-01-19 10:32,9.4M
123,01242099999.csv,2024-01-19 10:15,262K
124,01245099999.csv,2024-01-19 09:47,3.3M
125,01250099999.csv,2024-01-19 10:19,2.3M
126,01253099999.csv,2024-01-19 10:13,1.4M
127,01254099999.csv,2024-01-19 10:41,1.5M
128,01257099999.csv,2024-01-19 10:10,1.6M
129,01259099999.csv,2024-01-19 10:25,1.5M
130,01262099999.csv,2024-01-19 10:32,347K
131,01265099999.csv,2024-01-19 10:01,2.9M
132,01270099999.csv,2024-01-19 10:27,3.4M
133,01271099999.csv,2024-01-19 10:41,11M
134,01272099999.csv,2024-01-19 10:22,3.5M
135,01273099999.csv,2024-01-19 10:35,1.3M
136,01277099999.csv,2024-01-19 10:05,1.6M
137,01281099999.csv,2024-01-19 10:29,707K
138,01282099999.csv,2024-01-19 10:38,4.8M
139,01287099999.csv,2024-01-19 10:23,211K
140,01288099999.csv,2024-01-19 09:59,897K
141,01290099999.csv,2024-01-19 10:00,5.2M
142,01291099999.csv,2024-01-19 10:38,3.5M
143,01293099999.csv,2024-01-19 10:03,1.2M
144,01300099999.csv,2024-01-19 09:56,3.9M
145,01300599999.csv,2024-01-19 10:39,9.0M
146,01304099999.csv,2024-01-19 10:03,1.4M
147,01307099999.csv,2024-01-19 10:04,3.4M
148,01308099999.csv,2024-01-19 10:23,3.4M
149,01310099999.csv,2024-01-19 10:36,9.8M
150,01311099999.csv,2024-01-19 10:07,11M
151,01314099999.csv,2024-01-19 10:24,1.4M
152,01315099999.csv,2024-01-19 10:22,1.3M
153,01317099999.csv,2024-01-19 10:29,3.7M
154,01319099999.csv,2024-01-19 10:26,2.1M
155,01320099999.csv,2024-01-19 10:08,5.5M
156,01321099999.csv,2024-01-19 10:43,3.4M
157,01323099999.csv,2024-01-19 10:08,5.2M
158,01326099999.csv,2024-01-19 10:11,3.1M
159,01327099999.csv,2024-01-19 09:56,1.4M
160,01329099999.csv,2024-01-19 10:11,3.8M
161,01332099999.csv,2024-01-19 10:27,3.6M
162,01336099999.csv,2024-01-19 10:07,1.7M
163,01337099999.csv,2024-01-19 10:08,3.8M
164,01338099999.csv,2024-01-19 10:22,2.5M
165,01340099999.csv,2024-01-19 10:24,2.3M
166,01342099999.csv,2024-01-19 10:29,3.7M
167,01344099999.csv,2024-01-19 09:54,1.8M
168,01345099999.csv,2024-01-19 10:30,1.4M
169,01346099999.csv,2024-01-19 10:31,2.0M
170,01347099999.csv,2024-01-19 10:29,5.8M
171,01350099999.csv,2024-01-19 10:29,1.5M
172,01352099999.csv,2024-01-19 10:40,1.5M
173,01355099999.csv,2024-01-19 10:25,2.8M
174,01357099999.csv,2024-01-19 10:34,2.1M
175,01358099999.csv,2024-01-19 10:19,3.2M
176,01359099999.csv,2024-01-19 10:08,514K
177,01360099999.csv,2024-01-19 10:09,58K
178,01361099999.csv,2024-01-19 09:47,3.5M
179,01362099999.csv,2024-01-19 10:16,1.3M
180,01364099999.csv,2024-01-19 10:04,3.3M
181,01365099999.csv,2024-01-19 10:25,2.9M
182,01366099999.csv,2024-01-19 09:49,3.6M
183,01367099999.csv,2024-01-19 09:56,2.0M
184,01368099999.csv,2024-01-19 10:45,464K
185,01370099999.csv,2024-01-19 10:39,3.7M
186,01371099999.csv,2024-01-19 10:17,3.7M
187,01373099999.csv,2024-01-19 10:23,3.7M
188,01374099999.csv,2024-01-19 10:26,1.9M
189,01375099999.csv,2024-01-19 10:28,1.5M
190,01375599999.csv,2024-01-19 10:42,8.7M
191,01376099999.csv,2024-01-19 10:07,1.3M
192,01378099999.csv,2024-01-19 09:59,1.7M
193,01380099999.csv,2024-01-19 10:43,1.5M
194,01381099999.csv,2024-01-19 10:22,3.4M
195,01382099999.csv,2024-01-19 10:02,3.6M
196,01383099999.csv,2024-01-19 10:03,3.6M
197,01384099999.csv,2024-01-19 10:13,10M
198,01385099999.csv,2024-01-19 10:24,1.5M
199,01386099999.csv,2024-01-19 09:49,2.2M
200,01387099999.csv,2024-01-19 09:55,3.1M
201,01389099999.csv,2024-01-19 10:20,3.6M
202,01392099999.csv,2024-01-19 10:39,1.7M
203,01393099999.csv,2024-01-19 10:00,3.7M
204,01397099999.csv,2024-01-19 09:52,3.9M
205,01403099999.csv,2024-01-19 10:06,2.3M
206,01403399999.csv,2024-01-19 10:02,3.9M
207,01406099999.csv,2024-01-19 09:56,3.4M
208,01408099999.csv,2024-01-19 10:28,9.6M
209,01411099999.csv,2024-01-19 10:16,305K
210,01412099999.csv,2024-01-19 10:39,3.6M
211,01413099999.csv,2024-01-19 10:33,2.9M
212,01414099999.csv,2024-01-19 10:36,1.8M
213,01415099999.csv,2024-01-19 10:18,10M
214,01416099999.csv,2024-01-19 10:17,2.1M
215,01417099999.csv,2024-01-19 09:58,2.8M
216,01418099999.csv,2024-01-19 09:52,1.3M
217,01419099999.csv,2024-01-19 09:49,3.5M
218,01422099999.csv,2024-01-19 10:16,3.6M
219,01424099999.csv,2024-01-19 10:10,1.5M
220,01425099999.csv,2024-01-19 10:35,2.9M
221,01426099999.csv,2024-01-19 10:31,3.3M
222,01427099999.csv,2024-01-19 10:19,327K
223,01428199999.csv,2024-01-19 09:59,9.0M
224,01430099999.csv,2024-01-19 10:09,1.0M
225,01431099999.csv,2024-01-19 10:28,2.9M
226,01434099999.csv,2024-01-19 09:56,1.4M
227,01435099999.csv,2024-01-19 10:31,3.9M
228,01436099999.csv,2024-01-19 10:32,1.8M
229,01439099999.csv,2024-01-19 10:10,358K
230,01440099999.csv,2024-01-19 09:47,1.3M
231,01441099999.csv,2024-01-19 10:26,4.0M
232,01442099999.csv,2024-01-19 10:05,2.6M
233,01444099999.csv,2024-01-19 10:14,3.4M
234,01447099999.csv,2024-01-19 10:34,3.9M
235,01448099999.csv,2024-01-19 09:55,2.6M
236,01449099999.csv,2024-01-19 10:13,1.3M
237,01450099999.csv,2024-01-19 10:29,2.0M
238,01452099999.csv,2024-01-19 10:39,10M
239,01453099999.csv,2024-01-19 10:34,2.8M
240,01455099999.csv,2024-01-19 10:33,3.7M
241,01459099999.csv,2024-01-19 10:07,393K
242,01460099999.csv,2024-01-19 10:29,3.2M
243,01462099999.csv,2024-01-19 10:19,1.3M
244,01463099999.csv,2024-01-19 10:22,1.2M
245,01464099999.csv,2024-01-19 10:20,3.0M
246,01465099999.csv,2024-01-19 10:14,3.5M
247,01466099999.csv,2024-01-19 09:56,1.2M
248,01467099999.csv,2024-01-19 10:13,3.4M
249,01468099999.csv,2024-01-19 09:50,223K
250,01469099999.csv,2024-01-19 10:01,1.7M
251,01470099999.csv,2024-01-19 10:00,3.5M
252,01470399999.csv,2024-01-19 10:25,3.1M
253,01471099999.csv,2024-01-19 09:59,1.7M
254,01473099999.csv,2024-01-19 10:38,1.9M
255,01476099999.csv,2024-01-19 10:08,1.1M
256,01477099999.csv,2024-01-19 09:47,3.3M
257,01478099999.csv,2024-01-19 10:08,1.5M
258,01480099999.csv,2024-01-19 10:03,1.4M
259,01481099999.csv,2024-01-19 10:01,1.5M
260,01482099999.csv,2024-01-19 10:16,3.1M
261,01482599999.csv,2024-01-19 10:22,8.4M
262,01483099999.csv,2024-01-19 10:13,1.6M
263,01484099999.csv,2024-01-19 10:11,262K
264,01484399999.csv,2024-01-19 10:31,8.6M
265,01485099999.csv,2024-01-19 10:43,3.2M
266,01486099999.csv,2024-01-19 09:52,241K
267,01488099999.csv,2024-01-19 10:10,1.1M
268,01488199999.csv,2024-01-19 10:34,9.4M
269,01489099999.csv,2024-01-19 10:33,3.4M
270,01490099999.csv,2024-01-19 10:11,3.5M
271,01492099999.csv,2024-01-19 10:20,2.6M
272,01493099999.csv,2024-01-19 10:08,1.8M
273,01494099999.csv,2024-01-19 10:13,10M
274,01495099999.csv,2024-01-19 10:06,3.6M
275,02000199999.csv,2024-01-19 10:18,9.0M
276,02013099999.csv,2024-01-19 10:10,4.6M
277,02019099999.csv,2024-01-19 10:01,4.1M
278,02022099999.csv,2024-01-19 10:35,3.4M
279,02024099999.csv,2024-01-19 10:32,4.2M
280,02028099999.csv,2024-01-19 09:56,1.9M
281,02029099999.csv,2024-01-19 10:38,4.3M
282,02031099999.csv,2024-01-19 10:41,4.2M
283,02036099999.csv,2024-01-19 10:43,4.6M
284,02038099999.csv,2024-01-19 10:08,4.2M
285,02044099999.csv,2024-01-19 10:11,13M
286,02049099999.csv,2024-01-19 10:14,13M
287,02055099999.csv,2024-01-19 10:28,4.5M
288,02064099999.csv,2024-01-19 09:52,4.2M
289,02071099999.csv,2024-01-19 10:38,1.9M
290,02072099999.csv,2024-01-19 10:22,4.8M
291,02081099999.csv,2024-01-19 10:42,4.6M
292,02091099999.csv,2024-01-19 10:25,1.9M
293,02095099999.csv,2024-01-19 10:36,4.1M
294,02101099999.csv,2024-01-19 10:25,13M
295,02102099999.csv,2024-01-19 10:34,4.1M
296,02103099999.csv,2024-01-19 10:35,4.3M
297,02110099999.csv,2024-01-19 10:37,4.3M
298,02119099999.csv,2024-01-19 10:25,4.2M
299,02120599999.csv,2024-01-19 09:59,4.7M
300,02121099999.csv,2024-01-19 10:29,4.5M
301,02124099999.csv,2024-01-19 10:17,4.1M
302,02126099999.csv,2024-01-19 09:48,4.8K
303,02135099999.csv,2024-01-19 10:12,4.3M
304,02141099999.csv,2024-01-19 10:05,4.9M
305,02147099999.csv,2024-01-19 10:43,4.2M
306,02149099999.csv,2024-01-19 10:28,4.7M
307,02151099999.csv,2024-01-19 10:34,4.3M
308,02154099999.csv,2024-01-19 10:30,14M
309,02161099999.csv,2024-01-19 10:21,4.3M
310,02171099999.csv,2024-01-19 10:40,4.9M
311,02173099999.csv,2024-01-19 09:47,4.3M
312,02174099999.csv,2024-01-19 10:37,4.8M
313,02176099999.csv,2024-01-19 10:24,4.4M
314,02181099999.csv,2024-01-19 09:48,4.7M
315,02183099999.csv,2024-01-19 10:01,1.9M
316,02184099999.csv,2024-01-19 10:41,4.6M
317,02186099999.csv,2024-01-19 10:13,14M
318,02188099999.csv,2024-01-19 10:02,4.4M
319,02191099999.csv,2024-01-19 09:54,4.3M
320,02197099999.csv,2024-01-19 10:08,4.1M
321,02199099999.csv,2024-01-19 10:02,4.3M
322,02207099999.csv,2024-01-19 10:04,4.9M
323,02209099999.csv,2024-01-19 10:43,4.1M
324,02210099999.csv,2024-01-19 10:14,4.1M
325,02219099999.csv,2024-01-19 10:17,4.0M
326,02221099999.csv,2024-01-19 10:05,4.2M
327,02226099999.csv,2024-01-19 10:01,13M
328,02229099999.csv,2024-01-19 09:57,1.9M
329,02230099999.csv,2024-01-19 10:30,4.2M
330,02231099999.csv,2024-01-19 10:37,4.3M
331,02236099999.csv,2024-01-19 10:18,4.6M
332,02242099999.csv,2024-01-19 10:03,4.2M
333,02243099999.csv,2024-01-19 09:53,4.0M
334,02245099999.csv,2024-01-19 10:14,4.6M
335,02245599999.csv,2024-01-19 10:07,8.9M
336,02247099999.csv,2024-01-19 10:25,4.4M
337,02254099999.csv,2024-01-19 10:41,4.7M
338,02259099999.csv,2024-01-19 10:09,8.8M
339,02260099999.csv,2024-01-19 10:39,4.6M
340,02261099999.csv,2024-01-19 10:06,4.6M
341,02263099999.csv,2024-01-19 10:08,4.5M
342,02265099999.csv,2024-01-19 10:07,4.5M
343,02267099999.csv,2024-01-19 10:40,14M
344,02269099999.csv,2024-01-19 10:01,4.0M
345,02271099999.csv,2024-01-19 09:53,4.6M
346,02282099999.csv,2024-01-19 10:00,4.4M
347,02284099999.csv,2024-01-19 10:17,4.6M
348,02286099999.csv,2024-01-19 10:26,13M
349,02287099999.csv,2024-01-19 10:24,4.1M
350,02293099999.csv,2024-01-19 10:34,13M
351,02297099999.csv,2024-01-19 09:48,4.8M
352,02307099999.csv,2024-01-19 09:50,3.9M
353,02308099999.csv,2024-01-19 10:22,4.7M
354,02316099999.csv,2024-01-19 10:13,404K
355,02317099999.csv,2024-01-19 10:14,4.5M
356,02319099999.csv,2024-01-19 10:03,4.2M
357,02321099999.csv,2024-01-19 10:01,4.6M
358,02325099999.csv,2024-01-19 10:21,4.6M
359,02327099999.csv,2024-01-19 10:35,4.6M
360,02329099999.csv,2024-01-19 10:27,4.6M
361,02331099999.csv,2024-01-19 09:49,4.3M
362,02338099999.csv,2024-01-19 10:31,4.7M
363,02343099999.csv,2024-01-19 10:37,4.6M
364,02347099999.csv,2024-01-19 09:47,4.7M
365,02355099999.csv,2024-01-19 09:53,4.1M
366,02366099999.csv,2024-01-19 10:15,13M
367,02368099999.csv,2024-01-19 10:18,4.3M
368,02382099999.csv,2024-01-19 10:35,3.9M
369,02403099999.csv,2024-01-19 10:13,4.4M
370,02407099999.csv,2024-01-19 10:40,4.7M
371,02408099999.csv,2024-01-19 10:29,4.5M
372,02411099999.csv,2024-01-19 10:05,4.6M
373,02417099999.csv,2024-01-19 10:16,3.9M
374,02418099999.csv,2024-01-19 10:42,13M
375,02419099999.csv,2024-01-19 10:24,1.9M
376,02423099999.csv,2024-01-19 10:22,4.5M
377,02426099999.csv,2024-01-19 10:02,4.5M
378,02428399999.csv,2024-01-19 10:11,8.6M
379,02428499999.csv,2024-01-19 10:27,9.0M
380,02428599999.csv,2024-01-19 09:49,8.7M
381,02429099999.csv,2024-01-19 10:25,4.4M
382,02431099999.csv,2024-01-19 10:21,4.5M
383,02432099999.csv,2024-01-19 10:20,4.4M
384,02435099999.csv,2024-01-19 10:42,13M
385,02440099999.csv,2024-01-19 10:44,4.5M
386,02441099999.csv,2024-01-19 10:16,4.7M
387,02443099999.csv,2024-01-19 10:44,4.6M
388,02446099999.csv,2024-01-19 09:58,8.8M
389,02449099999.csv,2024-01-19 09:52,4.7M
390,02450099999.csv,2024-01-19 09:57,3.5M
391,02452099999.csv,2024-01-19 10:13,4.5M
392,02453099999.csv,2024-01-19 09:59,4.6M
393,02456099999.csv,2024-01-19 09:51,4.1M
394,02458099999.csv,2024-01-19 10:20,13M
395,02460099999.csv,2024-01-19 10:01,13M
396,02464099999.csv,2024-01-19 10:08,13M
397,02468099999.csv,2024-01-19 10:33,4.4M
398,02469099999.csv,2024-01-19 10:22,4.4M
399,02476099999.csv,2024-01-19 10:43,4.5M
400,02481099999.csv,2024-01-19 10:31,4.7M
401,02482099999.csv,2024-01-19 10:18,4.6M
402,02483099999.csv,2024-01-19 10:39,1.9M
403,02484099999.csv,2024-01-19 10:28,4.4M
404,02485399999.csv,2024-01-19 09:48,8.7M
405,02486099999.csv,2024-01-19 10:35,4.3M
406,02487099999.csv,2024-01-19 10:00,4.1M
407,02488099999.csv,2024-01-19 09:54,4.6M
408,02489099999.csv,2024-01-19 10:39,4.7M
409,02490099999.csv,2024-01-19 10:36,4.8M
410,02492099999.csv,2024-01-19 10:17,1.9M
411,02493099999.csv,2024-01-19 10:27,4.2M
412,02496099999.csv,2024-01-19 10:11,365K
413,02498099999.csv,2024-01-19 10:01,4.5M
414,02500099999.csv,2024-01-19 10:08,4.5M
415,02501099999.csv,2024-01-19 10:06,4.3M
416,02503099999.csv,2024-01-19 10:31,1.9M
417,02505099999.csv,2024-01-19 10:31,4.4M
418,02510399999.csv,2024-01-19 09:49,9.2M
419,02512099999.csv,2024-01-19 10:01,266K
420,02513099999.csv,2024-01-19 09:48,4.5M
421,02514099999.csv,2024-01-19 10:32,8.9M
422,02516099999.csv,2024-01-19 10:13,4.7M
423,02518099999.csv,2024-01-19 10:26,3.7M
424,02520099999.csv,2024-01-19 10:21,14M
425,02526099999.csv,2024-01-19 10:23,13M
426,02531099999.csv,2024-01-19 10:35,1.9M
427,02535099999.csv,2024-01-19 10:33,8.6M
428,02536099999.csv,2024-01-19 10:22,4.6M
429,02539099999.csv,2024-01-19 10:33,4.4M
430,02540099999.csv,2024-01-19 10:02,4.4M
431,02542099999.csv,2024-01-19 10:07,4.6M
432,02544099999.csv,2024-01-19 10:38,4.9M
433,02545099999.csv,2024-01-19 10:36,4.7M
434,02546099999.csv,2024-01-19 10:21,4.8M
435,02548099999.csv,2024-01-19 10:09,4.3M
436,02549099999.csv,2024-01-19 10:10,4.4M
437,02550099999.csv,2024-01-19 10:13,13M
438,02552099999.csv,2024-01-19 09:50,4.4M
439,02554099999.csv,2024-01-19 10:37,4.4M
440,02556099999.csv,2024-01-19 10:37,4.9M
441,02557099999.csv,2024-01-19 10:31,4.6M
442,02558099999.csv,2024-01-19 10:40,4.7M
443,02559099999.csv,2024-01-19 10:40,4.2M
444,02561099999.csv,2024-01-19 10:12,4.8M
445,02562099999.csv,2024-01-19 10:06,14M
446,02562599999.csv,2024-01-19 10:31,8.8M
447,02563099999.csv,2024-01-19 10:00,4.1M
448,02563599999.csv,2024-01-19 10:39,13M
449,02565099999.csv,2024-01-19 10:33,4.2M
450,02567099999.csv,2024-01-19 10:32,4.7M
451,02571099999.csv,2024-01-19 10:42,8.8M
452,02573099999.csv,2024-01-19 10:36,1.9M
453,02574099999.csv,2024-01-19 10:07,4.7M
454,02575099999.csv,2024-01-19 10:34,4.6M
455,02587099999.csv,2024-01-19 10:07,4.5M
456,02589099999.csv,2024-01-19 09:52,4.7M
457,02590099999.csv,2024-01-19 09:51,14M
458,02598099999.csv,2024-01-19 10:21,4.1M
459,02604099999.csv,2024-01-19 10:11,9.3M
460,02605099999.csv,2024-01-19 09:51,4.3M
461,02611099999.csv,2024-01-19 10:38,4.7M
462,02615099999.csv,2024-01-19 10:33,4.1M
463,02616099999.csv,2024-01-19 10:14,365K
464,02618099999.csv,2024-01-19 10:15,4.6M
465,02622099999.csv,2024-01-19 09:59,4.3M
466,02623099999.csv,2024-01-19 10:01,4.2M
467,02625099999.csv,2024-01-19 09:57,4.6M
468,02628099999.csv,2024-01-19 10:16,4.4M
469,02629099999.csv,2024-01-19 10:37,4.9M
470,02632099999.csv,2024-01-19 09:48,3.9M
471,02633099999.csv,2024-01-19 09:52,1.9M
472,02635099999.csv,2024-01-19 10:11,3.8M
473,02636099999.csv,2024-01-19 10:21,13M
474,02641099999.csv,2024-01-19 10:15,9.0M
475,02643099999.csv,2024-01-19 10:12,1.9M
476,02644099999.csv,2024-01-19 10:24,4.7M
477,02648099999.csv,2024-01-19 10:17,4.6M
478,02651099999.csv,2024-01-19 10:13,9.0M
479,02661099999.csv,2024-01-19 10:05,4.8M
480,02664099999.csv,2024-01-19 09:54,13M
481,02665099999.csv,2024-01-19 10:05,1.1M
482,02667099999.csv,2024-01-19 10:31,4.8M
483,02670099999.csv,2024-01-19 09:57,4.4M
484,02672099999.csv,2024-01-19 09:54,8.8M
485,02679099999.csv,2024-01-19 10:38,4.1M
486,02701099999.csv,2024-01-19 09:50,4.2M
487,02702099999.csv,2024-01-19 10:32,4.0M
488,02704099999.csv,2024-01-19 09:55,4.3M
489,02705099999.csv,2024-01-19 10:31,4.1M
490,02706099999.csv,2024-01-19 10:03,4.0M
491,02708099999.csv,2024-01-19 10:14,4.4M
492,02710099999.csv,2024-01-19 09:48,3.9M
493,02714099999.csv,2024-01-19 10:07,4.0M
494,02717099999.csv,2024-01-19 10:12,3.9M
495,02718099999.csv,2024-01-19 10:29,4.1M
496,02719099999.csv,2024-01-19 10:38,3.9M
497,02720099999.csv,2024-01-19 10:07,13M
498,02721099999.csv,2024-01-19 10:11,4.0M
499,02722099999.csv,2024-01-19 10:11,4.3M
500,02724099999.csv,2024-01-19 10:20,4.7M
501,02725099999.csv,2024-01-19 09:56,4.3M
502,02726099999.csv,2024-01-19 10:04,4.1M
503,02727099999.csv,2024-01-19 10:08,4.6M
504,02732099999.csv,2024-01-19 09:53,4.4M
505,02733099999.csv,2024-01-19 10:19,4.1M
506,02734099999.csv,2024-01-19 10:29,4.6M
507,02735099999.csv,2024-01-19 10:31,4.3M
508,02736099999.csv,2024-01-19 10:19,4.4M
509,02737099999.csv,2024-01-19 10:31,4.1M
510,02738099999.csv,2024-01-19 10:19,4.1M
511,02739099999.csv,2024-01-19 10:27,4.9M
512,02741099999.csv,2024-01-19 10:19,4.8M
513,02743099999.csv,2024-01-19 10:11,3.9M
514,02744099999.csv,2024-01-19 10:16,3.9M
515,02745099999.csv,2024-01-19 10:35,4.6M
516,02746099999.csv,2024-01-19 09:51,4.5M
517,02747099999.csv,2024-01-19 10:29,4.4M
518,02750099999.csv,2024-01-19 10:19,4.2M
519,02751099999.csv,2024-01-19 10:42,4.8M
520,02752099999.csv,2024-01-19 10:35,3.6M
521,02753099999.csv,2024-01-19 10:19,4.7M
522,02754099999.csv,2024-01-19 10:30,4.8M
523,02755099999.csv,2024-01-19 10:05,4.1M
524,02756099999.csv,2024-01-19 10:29,3.8M
525,02757099999.csv,2024-01-19 10:31,4.2M
526,02758099999.csv,2024-01-19 10:32,4.0M
527,02759099999.csv,2024-01-19 10:01,4.8M
528,02760099999.csv,2024-01-19 09:50,4.1M
529,02761099999.csv,2024-01-19 10:00,4.6M
530,02763099999.csv,2024-01-19 10:34,4.6M
531,02764099999.csv,2024-01-19 10:38,4.4M
532,02765099999.csv,2024-01-19 10:09,3.7M
533,02766099999.csv,2024-01-19 10:08,4.5M
534,02767099999.csv,2024-01-19 10:36,3.9M
535,02768099999.csv,2024-01-19 10:39,3.9M
536,02769099999.csv,2024-01-19 10:01,4.9M
537,02770099999.csv,2024-01-19 09:53,4.7M
538,02771099999.csv,2024-01-19 10:14,4.4M
539,02772099999.csv,2024-01-19 10:14,4.2M
540,02773099999.csv,2024-01-19 10:32,4.1M
541,02777099999.csv,2024-01-19 10:36,4.9M
542,02778099999.csv,2024-01-19 10:00,4.0M
543,02780099999.csv,2024-01-19 09:50,4.0M
